Date,Company,Industry,Subvertical,City,Investors,Round,Amount,Year,Quarter
5/9/2016,Locus,Technology,Logistics Intelligence platform,Bengaluru,Exfinity Venture Partners,Private Equity,23.65,2016,2
12/23/2015,Shotang.com,B2B eCommerce Marketplace,Not unknown,Bengaluru,Exfinity Venture Partners,Private Equity,43,2015,4
7/22/2015,Iqlect,Big Data & Analytics platform,Not unknown,Bengaluru,Exfinity Venture Partners,Private Equity,17.2,2015,3
7/23/2015,Fitternity,Fitness Marketplace,Not unknown,Mumbai,Exfinity Venture Partners,Private Equity,8.6,2015,3
8/22/2016,Fitternity,Consumer Internet,Fitness Gym & Services Discovery platform,Mumbai,Exfinity Venture Partners,Private Equity,0,2016,3
9/4/2017,PrimaryIO,Technology,Application Performance Acceleration,Pune,Exfinity Venture Partners,Private Equity,48.16,2017,3
9/1/2016,Mad Street Den,Technology,Artificial Intelligence platform,Chennai,Exfinity Venture Partners,Private Equity,0,2016,3
9/15/2015,MoEngage,Mobile Marketing Automation Platform,Not unknown,Bengaluru,Exfinity Venture Partners,Private Equity,36.55,2015,3
5/8/2015,Uniken,Online Security Platform,Not unknown,Pune,Exfinity Venture Partners,Private Equity,17.2,2015,2
10/18/2017,Bank Bazaar,Consumer Internet,Online Financial Marketplace,Chennai,Experian,Private Equity,60.2,2017,4
2/8/2017,EduRev,Consumer Internet,Online Education Portal,Gurugram,Facebook,Seed Funding,0.34,2017,1
2/17/2017,Leopetra,eCommerce,Solution provider for pet needs,Mumbai,Facebook,Seed Funding,0.34,2017,1
2/18/2017,Blood n Care,Consumer Internet,First Aid care app,Gurugram,Facebook,Seed Funding,0.34,2017,1
2/22/2017,Vebbler,Consumer Internet,Photo Sharing for Groups,Bengaluru,Facebook,Seed Funding,0.34,2017,1
8/9/2017,CroFarm,Technology,Agriculture Supply Chain solutions,Gurugram,Factor[e] Ventures,Seed Funding,6.73,2017,3
10/7/2016,KOOH Sports,Technology,Sports Training & Technology,Mumbai,Faering Capital,Private Equity,18.92,2016,4
12/21/2015,KOOH Sports,Sports Education Platform,Not unknown,Mumbai,Faering Capital,Private Equity,17.2,2015,4
6/19/2015,FundsIndia.com,Financial Services Platform,Not unknown,Chennai,Faering Capital,Private Equity,94.6,2015,2
7/24/2018,Digit,Consumer Internet,Online Insurance Startup,Pune,Fairfax,Private Equity,387,2018,3
